iter	RMSE
0	18618.36795
1	17355.68579
2	16236.49957
3	15275.86877
4	14408.5388
5	13614.35494
6	12904.11513
7	12224.37848
8	11650.53293
9	11161.44207
10	10628.81572
11	10177.14275
12	9745.767976
13	9413.03186
14	9073.506337
15	8787.083201
16	8494.847449
17	8250.376332
18	8061.72578
19	7813.755254
20	7650.90082
21	7441.619121
22	7297.567481
23	7137.849707
24	7028.601355
25	6925.809546
26	6780.224589
27	6649.175152
28	6537.353724
29	6422.191759
30	6342.472879
31	6255.154054
32	6191.344445
33	6093.077735
34	6025.030757
35	5972.015726
36	5911.210175
37	5843.335718
38	5799.745714
39	5749.93665
40	5708.12958
41	5664.013241
42	5621.103126
43	5582.714702
44	5539.524718
45	5518.407957
46	5497.872788
47	5464.791728
48	5441.120661
49	5412.054571
50	5394.496613
51	5365.547403
52	5344.170361
53	5321.454876
54	5298.580752
55	5287.276917
56	5264.334931
57	5249.456957
58	5222.654599
59	5202.611197
60	5182.755991
61	5171.063114
62	5157.343085
63	5147.042109
64	5129.327437
65	5110.519674
66	5096.551984
67	5073.402969
68	5062.885967
69	5045.699569
70	5035.958585
71	5024.748291
72	5012.856453
73	4998.477545
74	4987.9696
75	4976.42066
76	4970.022644
77	4962.523541
78	4955.190774
79	4945.41095
80	4938.044403
81	4930.826333
82	4924.348896
83	4915.97319
84	4901.211327
85	4891.505394
86	4884.336473
87	4876.414546
88	4867.887272
89	4860.579469
90	4853.111983
91	4844.042557
92	4837.134481
93	4830.812898
94	4827.761897
95	4822.477917
96	4816.72865
97	4811.717958
98	4808.202448
99	4800.199665
100	4796.012857
101	4791.983151
102	4787.660101
103	4784.386336
104	4779.000383
105	4775.936443
106	4768.766835
107	4762.996799
108	4758.617408
109	4755.373476
110	4748.914872
111	4742.330128
112	4735.895499
113	4731.624598
114	4728.934218
115	4725.006283
116	4721.251894
117	4716.384474
118	4713.2576
119	4711.309129
120	4708.082717
121	4702.600359
122	4700.701558
123	4696.221594
124	4693.239489
125	4690.006571
126	4684.60803
127	4682.275224
128	4680.115492
129	4675.98244
130	4673.730025
131	4670.939706
132	4665.351874
133	4662.469234
134	4660.070076
135	4656.641882
136	4652.604103
137	4650.108148
138	4646.615482
139	4642.787604
140	4641.447413
141	4639.428411
142	4635.653452
143	4632.790639
144	4631.032671
145	4627.177038
146	4624.220987
147	4622.381304
148	4619.867929
149	4617.189643
150	4614.576951
151	4612.242923
152	4609.025491
153	4604.871767
154	4602.696941
155	4599.534446
156	4597.433288
157	4595.482883
158	4592.633391
159	4590.49289
160	4588.175855
161	4586.765163
162	4583.175109
163	4580.899803
164	4577.726551
165	4576.310508
166	4574.061643
167	4572.367684
168	4569.339228
169	4566.928649
170	4565.339832
171	4562.710738
172	4559.875568
173	4558.049459
174	4555.308513
175	4554.01041
176	4552.476068
177	4551.098006
178	4549.935403
179	4547.733218
180	4546.415294
181	4545.30282
182	4543.359164
183	4541.16548
184	4540.204339
185	4538.806562
186	4538.094308
187	4536.025493
188	4534.024155
189	4532.392631
190	4530.502146
191	4528.66727
192	4527.294774
193	4525.763049
194	4524.708429
195	4523.731043
196	4521.711406
197	4519.620401
198	4518.020151
199	4516.462572
200	4515.109684
201	4513.415424
202	4512.156651
203	4509.779621
204	4508.563345
205	4507.385283
206	4506.594954
207	4505.449816
208	4504.341901
209	4503.278686
210	4500.851238
211	4499.192646
212	4497.34188
213	4495.915544
214	4494.647598
215	4493.855675
216	4492.580285
217	4491.610478
218	4490.346727
219	4489.70281
220	4486.988308
221	4485.725189
222	4484.514321
223	4483.099838
224	4481.925546
225	4480.206572
226	4479.196787
227	4478.408294
228	4477.592266
229	4475.912211
230	4474.99837
231	4473.165199
232	4471.46489
233	4470.273932
234	4469.120499
235	4468.760659
236	4468.038313
237	4466.163344
238	4464.594365
239	4463.725596
240	4463.082906
241	4462.696575
242	4460.997979
243	4460.15427
244	4457.979292
245	4456.257613
246	4455.141686
247	4454.521614
248	4453.210289
249	4452.536763
250	4451.376158
251	4449.867219
252	4449.288708
253	4448.42684
254	4447.473422
255	4446.84481
256	4445.974004
257	4445.462805
258	4444.389541
259	4443.838449
260	4442.021205
261	4441.45339
262	4440.706952
263	4439.499633
264	4438.898539
265	4437.224658
266	4436.666694
267	4436.175641
268	4435.235808
269	4433.574227
270	4432.468863
271	4431.684269
272	4431.219177
273	4430.524853
274	4429.511329
275	4427.896293
276	4426.539752
277	4424.67239
278	4423.813988
279	4422.973592
280	4421.864156
281	4420.815209
282	4420.318416
283	4419.308005
284	4418.682263
285	4417.992363
286	4416.882648
287	4416.619347
288	4415.286095
289	4414.541073
290	4413.377789
291	4412.989054
292	4412.335077
293	4411.946526
294	4411.326064
295	4410.510556
296	4409.61538
297	4408.552727
298	4408.16064
299	4406.428142
300	4404.873346
301	4403.826176
302	4402.56954
303	4402.23191
304	4401.781825
305	4401.39313
306	4400.346938
307	4399.304248
308	4398.899126
309	4398.247565
310	4397.666552
311	4397.055246
312	4396.232418
313	4395.201985
314	4394.632375
315	4394.139312
316	4393.041632
317	4392.755057
318	4391.761827
319	4390.993172
320	4390.659072
321	4390.065295
322	4389.643231
323	4389.179357
324	4388.357705
325	4387.787647
326	4386.784191
327	4386.496447
328	4386.111551
329	4385.467454
330	4384.147676
331	4383.46029
332	4382.612664
333	4382.357303
334	4381.93558
335	4381.133633
336	4380.884286
337	4380.168311
338	4379.225985
339	4378.460115
340	4377.334927
341	4376.464868
342	4375.35862
343	4374.424224
344	4373.580857
345	4372.396432
346	4371.888943
347	4371.342996
348	4370.956787
349	4370.409655
350	4369.450799
351	4368.690752
352	4368.260996
353	4367.813556
354	4366.121343
355	4365.448739
356	4365.037349
357	4363.971931
358	4363.397899
359	4362.251507
360	4361.75921
361	4361.433057
362	4360.339575
363	4359.849847
364	4359.137765
365	4358.490156
366	4358.074003
367	4357.532883
368	4356.707035
369	4356.376264
370	4355.922107
371	4355.282979
372	4354.595052
373	4354.473782
374	4353.448592
375	4352.868821
376	4352.443037
377	4351.602474
378	4350.96175
379	4350.380261
380	4349.984443
381	4349.720505
382	4349.122183
383	4348.618542
384	4348.358078
385	4347.49474
386	4346.977694
387	4346.243849
388	4345.886621
389	4345.530254
390	4345.380536
391	4344.00639
392	4343.473007
393	4342.878699
394	4342.573451
395	4341.738475
396	4340.847189
397	4340.193568
398	4339.552587
399	4339.343934
400	4338.685738
401	4338.366946
402	4337.895501
403	4337.295101
404	4336.673595
405	4336.414689
406	4336.293311
407	4335.319522
408	4334.897106
409	4334.148464
410	4333.601705
411	4333.226949
412	4332.856521
413	4332.38458
414	4331.504716
415	4330.738381
416	4329.819205
417	4329.711727
418	4329.577924
419	4328.816811
420	4328.640728
421	4327.800778
422	4327.299266
423	4326.170902
424	4325.398842
425	4325.006742
426	4324.812825
427	4324.544068
428	4323.89205
429	4323.32046
430	4322.766257
431	4322.23432
432	4322.041251
433	4321.544688
434	4320.859501
435	4320.539102
436	4320.339714
437	4319.984572
