iter	Passed	Remaining
0	21	10629
1	38	9520
2	54	9097
3	82	10223
4	99	9842
5	116	9580
6	131	9233
7	146	8997
8	159	8688
9	171	8394
10	184	8182
11	195	7958
12	207	7784
13	222	7712
14	234	7593
15	247	7482
16	261	7432
17	276	7400
18	289	7326
19	304	7298
20	316	7219
21	329	7150
22	340	7059
23	352	6996
24	364	6921
25	375	6848
26	387	6780
27	398	6722
28	410	6662
29	421	6610
30	433	6565
31	446	6532
32	462	6550
33	476	6528
34	489	6507
35	504	6504
36	519	6504
37	534	6503
38	548	6479
39	559	6439
40	571	6402
41	584	6369
42	596	6340
43	608	6302
44	621	6281
45	633	6250
46	644	6213
47	656	6181
48	667	6146
49	679	6114
50	690	6082
51	704	6068
52	716	6045
53	728	6014
54	739	5983
55	750	5950
56	762	5925
57	774	5898
58	787	5885
59	798	5856
60	810	5831
61	821	5806
62	833	5781
63	846	5765
64	858	5746
65	872	5736
66	885	5722
67	897	5701
68	909	5679
69	921	5660
70	932	5636
71	945	5621
72	958	5606
73	970	5588
74	984	5579
75	997	5565
76	1009	5547
77	1022	5529
78	1034	5513
79	1047	5496
80	1059	5482
81	1071	5464
82	1084	5448
83	1096	5431
84	1109	5416
85	1121	5401
86	1134	5383
87	1146	5366
88	1157	5347
89	1169	5328
90	1181	5310
91	1192	5290
92	1204	5269
93	1215	5249
94	1226	5228
95	1238	5210
96	1251	5198
97	1262	5179
98	1274	5160
99	1285	5142
100	1297	5124
101	1309	5108
102	1320	5090
103	1332	5072
104	1343	5054
105	1354	5035
106	1366	5019
107	1378	5002
108	1389	4985
109	1400	4966
110	1413	4955
111	1427	4946
112	1439	4929
113	1451	4914
114	1462	4896
115	1473	4878
116	1484	4861
117	1498	4850
118	1510	4837
119	1522	4822
120	1534	4806
121	1547	4796
122	1560	4781
123	1574	4773
124	1586	4760
125	1598	4743
126	1610	4729
127	1622	4714
128	1633	4697
129	1644	4681
130	1656	4666
131	1668	4650
132	1680	4636
133	1691	4619
134	1702	4602
135	1714	4587
136	1725	4571
137	1736	4556
138	1748	4541
139	1761	4528
140	1772	4513
141	1783	4497
142	1795	4481
143	1806	4466
144	1818	4451
145	1829	4436
146	1841	4421
147	1852	4405
148	1864	4391
149	1875	4376
150	1886	4360
151	1899	4348
152	1910	4334
153	1923	4320
154	1934	4305
155	1946	4292
156	1958	4278
157	1969	4262
158	1981	4249
159	1992	4234
160	2006	4224
161	2017	4209
162	2028	4194
163	2040	4181
164	2052	4168
165	2063	4152
166	2074	4137
167	2086	4122
168	2098	4109
169	2110	4095
170	2121	4081
171	2133	4068
172	2145	4055
173	2156	4040
174	2168	4027
175	2180	4013
176	2191	3999
177	2202	3983
178	2212	3967
179	2223	3952
180	2233	3935
181	2243	3920
182	2254	3904
183	2264	3889
184	2275	3873
185	2286	3859
186	2296	3844
187	2307	3829
188	2318	3814
189	2329	3800
190	2340	3786
191	2351	3771
192	2361	3756
193	2372	3741
194	2384	3730
195	2395	3715
196	2407	3703
197	2419	3689
198	2430	3676
199	2442	3663
200	2453	3649
201	2465	3637
202	2476	3622
203	2487	3608
204	2496	3593
205	2508	3580
206	2519	3566
207	2530	3552
208	2541	3538
209	2552	3524
210	2563	3510
211	2575	3498
212	2586	3485
213	2597	3471
214	2608	3457
215	2619	3444
216	2631	3432
217	2642	3418
218	2655	3407
219	2665	3392
220	2678	3381
221	2688	3366
222	2697	3351
223	2708	3337
224	2722	3328
225	2734	3315
226	2744	3300
227	2754	3285
228	2764	3271
229	2774	3257
230	2785	3244
231	2797	3231
232	2806	3216
233	2817	3202
234	2829	3190
235	2842	3179
236	2853	3166
237	2864	3153
238	2875	3140
239	2886	3126
240	2897	3113
241	2907	3100
242	2920	3088
243	2933	3078
244	2945	3066
245	2957	3053
246	2969	3041
247	2979	3027
248	2990	3014
249	3000	3000
250	3011	2987
251	3023	2975
252	3034	2962
253	3045	2949
254	3055	2935
255	3067	2923
256	3078	2910
257	3090	2898
258	3101	2886
259	3112	2872
260	3124	2860
261	3134	2847
262	3146	2835
263	3156	2821
264	3168	2810
265	3181	2798
266	3192	2786
267	3204	2774
268	3215	2761
269	3228	2750
270	3240	2738
271	3253	2726
272	3264	2714
273	3276	2702
274	3288	2690
275	3299	2677
276	3315	2669
277	3329	2659
278	3350	2654
279	3368	2646
280	3386	2639
281	3402	2630
282	3417	2620
283	3432	2610
284	3446	2599
285	3464	2592
286	3483	2585
287	3500	2576
288	3517	2568
289	3535	2560
290	3553	2551
291	3570	2543
292	3588	2535
293	3604	2525
294	3617	2514
295	3630	2501
296	3643	2490
297	3656	2478
298	3667	2465
299	3679	2452
300	3694	2442
301	3710	2432
302	3725	2422
303	3739	2410
304	3755	2401
305	3772	2391
306	3788	2381
307	3802	2370
308	3818	2360
309	3832	2348
310	3845	2336
311	3859	2325
312	3874	2314
313	3892	2305
314	3911	2297
315	3932	2289
316	3949	2279
317	3966	2270
318	3983	2260
319	4002	2251
320	4015	2238
321	4032	2229
322	4047	2217
323	4059	2205
324	4070	2192
325	4082	2178
326	4093	2165
327	4103	2151
328	4114	2138
329	4124	2124
330	4134	2111
331	4144	2097
332	4155	2084
333	4166	2070
334	4175	2056
335	4186	2043
336	4196	2029
337	4207	2016
338	4217	2003
339	4228	1989
340	4239	1976
341	4250	1963
342	4260	1950
343	4271	1936
344	4281	1923
345	4292	1910
346	4302	1897
347	4312	1883
348	4323	1870
349	4335	1857
350	4346	1845
351	4356	1831
352	4368	1818
353	4378	1805
354	4389	1792
355	4400	1779
356	4409	1766
357	4420	1753
358	4430	1739
359	4440	1726
360	4450	1713
361	4459	1700
362	4469	1686
363	4480	1673
364	4490	1660
365	4501	1648
366	4511	1634
367	4521	1621
368	4532	1609
369	4542	1595
370	4552	1583
371	4562	1570
372	4573	1557
373	4583	1544
374	4594	1531
375	4604	1518
376	4614	1505
377	4624	1492
378	4634	1479
379	4644	1466
380	4654	1453
381	4665	1441
382	4676	1428
383	4687	1416
384	4699	1403
385	4710	1391
386	4722	1378
387	4733	1366
388	4743	1353
389	4754	1341
390	4764	1328
391	4776	1315
392	4787	1303
393	4799	1291
394	4814	1279
395	4830	1268
396	4846	1257
397	4863	1246
398	4880	1235
399	4897	1224
400	4915	1213
401	4931	1202
402	4947	1190
403	4959	1178
404	4969	1165
405	4979	1152
406	4990	1140
407	5000	1127
408	5011	1115
409	5022	1102
410	5033	1089
411	5042	1076
412	5052	1064
413	5062	1051
414	5072	1038
415	5083	1026
416	5094	1014
417	5104	1001
418	5114	988
419	5126	976
420	5137	963
421	5147	951
422	5160	939
423	5170	926
424	5183	914
425	5194	902
426	5204	889
427	5214	877
428	5224	864
429	5234	852
430	5245	839
431	5256	827
432	5266	814
433	5276	802
434	5287	790
435	5298	777
436	5308	765
437	5319	753
438	5331	740
439	5341	728
440	5351	716
441	5362	703
442	5372	691
443	5383	678
444	5393	666
445	5403	654
446	5414	641
447	5426	629
448	5437	617
449	5447	605
450	5457	592
451	5467	580
452	5478	568
453	5488	556
454	5498	543
455	5508	531
456	5518	519
457	5530	507
458	5540	494
459	5550	482
460	5560	470
461	5570	458
462	5581	446
463	5592	433
464	5602	421
465	5613	409
466	5624	397
467	5634	385
468	5645	373
469	5655	360
470	5665	348
471	5675	336
472	5685	324
473	5696	312
474	5708	300
475	5720	288
476	5731	276
477	5742	264
478	5752	252
479	5763	240
480	5773	228
481	5784	216
482	5794	203
483	5804	191
484	5815	179
485	5826	167
486	5838	155
487	5851	143
488	5862	131
489	5872	119
490	5882	107
491	5892	95
492	5902	83
493	5913	71
494	5923	59
495	5933	47
496	5943	35
497	5953	23
498	5963	11
499	5974	0
