iter	RMSE
0	18821.25371
1	17889.7426
2	17058.78307
3	16298.13386
4	15644.8933
5	15003.65781
6	14471.22035
7	13981.44263
8	13529.38496
9	13117.8972
10	12786.19045
11	12518.99106
12	12268.40515
13	12036.94716
14	11787.87818
15	11518.68025
16	11347.07094
17	11198.17687
18	11043.48788
19	10860.49406
20	10739.2363
21	10629.52003
22	10528.474
23	10418.16172
24	10327.4829
25	10257.61776
26	10171.36327
27	10093.70075
28	10003.05592
29	9928.403951
30	9840.557855
31	9775.350678
32	9722.355112
33	9677.978878
34	9624.230113
35	9584.900744
36	9550.483063
37	9475.939224
38	9441.293221
39	9374.646542
40	9329.914851
41	9301.452022
42	9248.829342
43	9223.332022
44	9186.904414
45	9164.5561
46	9144.312371
47	9098.854953
48	9065.78974
49	9031.334869
50	9001.374603
51	8985.721614
52	8935.624093
53	8922.793559
54	8890.342243
55	8867.424566
56	8838.756983
57	8812.084343
58	8788.258973
59	8769.236099
60	8748.821538
61	8730.528818
62	8706.288576
63	8689.975027
64	8661.308766
65	8648.993973
66	8628.629833
67	8610.021259
68	8591.754371
69	8578.389908
70	8564.130309
71	8543.557545
72	8529.072621
73	8509.042201
74	8479.334573
75	8462.908672
76	8446.889807
77	8428.447336
78	8410.732888
79	8392.808123
80	8380.198522
81	8360.841058
82	8346.017827
83	8338.947274
84	8330.741367
85	8312.829485
86	8302.108654
87	8294.664008
88	8280.599947
89	8271.427382
90	8261.717299
91	8251.780025
92	8240.726454
93	8232.898585
94	8224.129757
95	8211.631264
96	8201.514236
97	8190.725321
98	8179.720863
99	8163.471376
100	8155.276385
101	8142.046372
102	8136.115898
103	8131.461705
104	8121.967864
105	8111.122464
106	8098.028913
107	8090.525006
108	8080.866827
109	8074.176666
110	8065.190597
111	8055.582975
112	8049.006289
113	8041.68095
114	8033.581209
115	8023.747991
116	8018.636555
117	8011.312142
118	8006.633055
119	7996.879485
120	7990.777367
121	7981.674915
122	7975.093597
123	7969.345395
124	7961.990384
125	7953.529639
126	7948.194546
127	7944.361057
128	7941.160492
129	7935.990435
130	7927.094619
131	7917.159146
132	7912.917634
133	7907.00035
134	7902.639408
135	7896.262316
136	7888.770395
137	7884.00858
138	7881.151557
139	7878.11466
140	7874.198961
141	7870.680725
142	7863.114647
143	7852.810052
144	7847.933354
145	7836.018328
146	7829.747393
147	7822.915653
148	7818.915198
149	7813.047272
150	7804.386793
151	7795.712405
152	7793.089989
153	7787.05093
154	7784.747024
155	7780.306473
156	7774.288672
157	7771.28766
158	7766.66748
159	7761.229021
160	7757.694375
161	7751.146893
162	7744.727281
163	7738.507987
164	7733.06875
165	7727.516139
166	7724.297029
167	7719.073306
168	7712.796448
169	7710.195864
170	7705.534246
171	7702.070753
172	7698.930409
173	7695.372034
174	7691.554399
175	7688.950654
176	7684.184205
177	7678.858071
178	7675.060097
179	7672.795083
180	7669.078065
181	7663.444459
182	7659.428621
183	7654.427758
184	7652.732067
185	7650.0332
186	7647.799817
187	7643.297834
188	7640.153795
189	7635.778668
190	7633.905554
191	7632.385245
192	7630.504849
193	7624.593567
194	7621.773724
195	7620.095166
196	7616.733498
197	7613.7105
198	7610.639132
199	7605.187801
200	7601.664296
201	7594.438645
202	7592.703781
203	7588.530291
204	7584.897395
205	7582.411995
206	7578.448933
207	7575.522586
208	7572.861674
209	7571.02703
210	7568.930471
211	7564.083679
212	7562.753489
213	7559.355642
214	7557.471114
215	7555.246568
216	7552.384809
217	7549.024505
218	7545.341631
219	7544.238509
220	7541.899217
221	7540.344663
222	7534.5564
