iter	Passed	Remaining
0	17	8627
1	35	8804
2	54	9108
3	106	13192
4	126	12558
5	168	13846
6	188	13300
7	212	13050
8	232	12699
9	252	12375
10	270	12006
11	287	11694
12	304	11421
13	321	11175
14	341	11031
15	357	10828
16	371	10567
17	386	10359
18	401	10169
19	417	10021
20	431	9838
21	445	9688
22	458	9517
23	472	9372
24	486	9243
25	501	9142
26	516	9044
27	531	8958
28	544	8851
29	558	8755
30	571	8645
31	582	8525
32	597	8457
33	609	8354
34	621	8263
35	635	8194
36	648	8117
37	661	8047
38	673	7966
39	686	7899
40	699	7835
41	711	7763
42	724	7702
43	736	7632
44	748	7566
45	760	7504
46	772	7448
47	786	7402
48	798	7351
49	811	7299
50	823	7249
51	835	7200
52	848	7154
53	860	7106
54	872	7055
55	883	7002
56	894	6948
57	905	6900
58	922	6892
59	933	6848
60	945	6807
61	958	6768
62	970	6731
63	981	6688
64	993	6650
65	1005	6609
66	1017	6573
67	1028	6533
68	1039	6490
69	1051	6459
70	1064	6433
71	1076	6396
72	1089	6371
73	1102	6346
74	1114	6317
75	1127	6289
76	1140	6263
77	1151	6230
78	1165	6213
79	1176	6178
80	1188	6146
81	1200	6118
82	1212	6090
83	1224	6062
84	1235	6030
85	1245	5996
86	1256	5963
87	1267	5932
88	1278	5902
89	1290	5877
90	1301	5850
91	1314	5829
92	1326	5804
93	1338	5780
94	1349	5751
95	1360	5727
96	1373	5704
97	1383	5675
98	1395	5653
99	1407	5631
100	1418	5605
101	1431	5584
102	1442	5561
103	1454	5537
104	1466	5515
105	1479	5499
106	1492	5483
107	1505	5463
108	1517	5443
109	1528	5419
110	1540	5400
111	1553	5382
112	1566	5363
113	1578	5343
114	1590	5325
115	1602	5305
116	1616	5290
117	1629	5275
118	1642	5257
119	1656	5246
120	1670	5232
121	1683	5215
122	1698	5205
123	1711	5189
124	1723	5169
125	1734	5148
126	1746	5129
127	1758	5110
128	1769	5090
129	1783	5075
130	1794	5055
131	1806	5036
132	1819	5019
133	1830	4999
134	1842	4980
135	1854	4963
136	1866	4945
137	1879	4929
138	1890	4910
139	1901	4889
140	1913	4872
141	1928	4861
142	1941	4846
143	1953	4830
144	1965	4813
145	1978	4798
146	1991	4781
147	2004	4767
148	2018	4754
149	2031	4739
150	2043	4723
151	2056	4709
152	2070	4695
153	2082	4678
154	2095	4664
155	2108	4649
156	2122	4636
157	2134	4621
158	2147	4605
159	2159	4588
160	2172	4573
161	2185	4560
162	2199	4548
163	2212	4533
164	2225	4518
165	2238	4503
166	2250	4488
167	2263	4473
168	2277	4460
169	2289	4444
170	2302	4430
171	2315	4415
172	2327	4400
173	2340	4385
174	2353	4370
175	2365	4355
176	2378	4341
177	2390	4324
178	2402	4308
179	2415	4294
180	2428	4279
181	2449	4280
182	2463	4267
183	2477	4254
184	2489	4238
185	2502	4223
186	2514	4208
187	2526	4193
188	2540	4179
189	2554	4167
190	2568	4154
191	2580	4139
192	2595	4127
193	2608	4114
194	2622	4101
195	2634	4086
196	2648	4073
197	2661	4058
198	2673	4044
199	2687	4031
200	2700	4017
201	2716	4006
202	2732	3997
203	2745	3984
204	2758	3969
205	2770	3954
206	2784	3940
207	2798	3928
208	2810	3913
209	2822	3897
210	2832	3880
211	2845	3865
212	2857	3849
213	2870	3836
214	2882	3820
215	2894	3806
216	2908	3793
217	2922	3780
218	2935	3767
219	2949	3754
220	2964	3742
221	2976	3727
222	2990	3714
223	3005	3702
224	3018	3689
225	3030	3674
226	3044	3661
227	3057	3647
228	3070	3633
229	3083	3620
230	3096	3606
231	3109	3592
232	3120	3575
233	3132	3560
234	3144	3545
235	3156	3530
236	3169	3517
237	3181	3502
238	3194	3488
239	3206	3473
240	3219	3459
241	3231	3445
242	3244	3431
243	3256	3416
244	3269	3402
245	3281	3388
246	3294	3374
247	3306	3359
248	3319	3346
249	3331	3331
250	3344	3317
251	3355	3302
252	3367	3288
253	3380	3274
254	3394	3261
255	3407	3247
256	3419	3233
257	3431	3218
258	3444	3204
259	3457	3191
260	3469	3177
261	3481	3162
262	3493	3148
263	3504	3133
264	3515	3117
265	3531	3106
266	3542	3091
267	3555	3077
268	3568	3064
269	3580	3050
270	3592	3035
271	3603	3020
272	3614	3005
273	3626	2990
274	3637	2976
275	3649	2961
276	3661	2947
277	3672	2933
278	3685	2919
279	3697	2904
280	3709	2890
281	3721	2876
282	3733	2862
283	3745	2848
284	3757	2834
285	3766	2818
286	3778	2804
287	3792	2791
288	3804	2778
289	3815	2762
290	3826	2748
291	3838	2734
292	3849	2719
293	3860	2704
294	3871	2690
295	3884	2676
296	3896	2663
297	3907	2648
298	3918	2634
299	3929	2619
300	3941	2605
301	3953	2591
302	3965	2578
303	3977	2564
304	3989	2550
305	4000	2536
306	4012	2522
307	4026	2509
308	4038	2496
309	4049	2482
310	4063	2469
311	4074	2455
312	4086	2441
313	4098	2427
314	4110	2413
315	4121	2399
316	4133	2386
317	4146	2373
318	4159	2360
319	4173	2347
320	4186	2334
321	4200	2322
322	4214	2309
323	4226	2296
324	4239	2282
325	4251	2269
326	4262	2255
327	4275	2241
328	4285	2227
329	4296	2213
330	4309	2200
331	4320	2186
332	4332	2172
