rent,area,type,bathrooms,furnished_type,localityclass,city
20000,1132,2,2,Unfurnished,class2,Mumbai
20000,1200,2,2,Unfurnished,class2,Mumbai
30000,1700,3,3,Semi-Furnished,class2,Mumbai
28500,750,2,2,Unfurnished,class2,Mumbai
50000,1400,3,3,Semi-Furnished,class2,Mumbai
3000,450,1,1,Unfurnished,class3,Mumbai
9500,700,1,2,Unfurnished,class3,Mumbai
55000,600,1,2,Furnished,class1,Mumbai
50000,600,1,2,Furnished,class1,Mumbai
9000,510,1,1,Unfurnished,class2,Mumbai
4500,650,1,2,Semi-Furnished,class3,Mumbai
77000,1300,3,2,Furnished,class1,Mumbai
50000,865,2,2,Semi-Furnished,class1,Mumbai
24000,750,1,2,Unfurnished,class2,Mumbai
25000,830,2,2,Semi-Furnished,class2,Mumbai
50000,900,2,2,Furnished,class1,Mumbai
9000,960,2,2,Semi-Furnished,class3,Mumbai
72000,700,2,3,Unfurnished,class1,Mumbai
82000,1500,3,3,Unfurnished,class1,Mumbai
31000,450,1,1,Furnished,class1,Mumbai
51000,1501,3,3,Furnished,class2,Mumbai
32000,1210,2,2,Furnished,class2,Mumbai
18000,850,2,2,Unfurnished,class2,Mumbai
55100,1135,2,2,Unfurnished,class2,Mumbai
22000,535,1,1,Semi-Furnished,class2,Mumbai
58000,1200,2,2,Unfurnished,class2,Mumbai
17500,950,2,2,Unfurnished,class2,Mumbai
61000,1130,2,1,Semi-Furnished,class1,Mumbai
52000,1500,3,2,Semi-Furnished,class2,Mumbai
15000,1120,2,2,Unfurnished,class3,Mumbai
72000,870,2,2,Furnished,class1,Mumbai
23000,317,1,2,Furnished,class1,Mumbai
25001,560,1,2,Semi-Furnished,class2,Mumbai
21000,870,2,2,Semi-Furnished,class2,Mumbai
58000,800,2,1,Semi-Furnished,class1,Mumbai
47000,1200,2,2,Furnished,class2,Mumbai
50000,950,2,2,Semi-Furnished,class1,Mumbai
46000,1100,3,3,Semi-Furnished,class2,Mumbai
82000,1350,2,2,Furnished,class1,Mumbai
22000,910,2,2,Unfurnished,class2,Mumbai
30000,950,2,2,Semi-Furnished,class2,Mumbai
35000,1050,2,2,Semi-Furnished,class2,Mumbai
7500,510,1,1,Semi-Furnished,class3,Mumbai
65000,1560,3,3,Semi-Furnished,class2,Mumbai
30000,1200,2,2,Semi-Furnished,class2,Mumbai
12000,700,1,1,Unfurnished,class2,Mumbai
80000,1800,3,3,Semi-Furnished,class2,Mumbai
84000,1250,3,2,Furnished,class1,Mumbai
80000,800,2,2,Semi-Furnished,class1,Mumbai
55000,850,2,2,Furnished,class1,Mumbai
70000,1200,2,2,Furnished,class1,Mumbai
50000,1080,2,2,Semi-Furnished,class2,Mumbai
13500,980,2,1,Unfurnished,class3,Mumbai
65000,550,1,1,Semi-Furnished,class1,Mumbai
63000,1250,2,2,Furnished,class1,Mumbai
27000,350,1,1,Semi-Furnished,class1,Mumbai
75000,900,2,2,Furnished,class1,Mumbai
25000,600,1,2,Unfurnished,class2,Mumbai
77000,2000,3,3,Furnished,class2,Mumbai
31000,595,1,1,Furnished,class1,Mumbai
12000,846,2,1,Unfurnished,class3,Mumbai
24500,650,1,1,Semi-Furnished,class2,Mumbai
60000,850,2,3,Furnished,class1,Mumbai
14000,630,1,2,Semi-Furnished,class2,Mumbai
27000,450,1,2,Semi-Furnished,class1,Mumbai
