broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status,Rent/sqfit,class
"Kasturi Developers
BUILDER
-",20000,1132,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",EV Castle,Unfurnished,17.6678445229682,class2
"Kasturi Developers
BUILDER
-",20000,1200,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",,Unfurnished,16.666666666666668,class2
"Kasturi Developers
BUILDER
-",30000,1700,3,No Deposit,3 bathrooms,NorthEast facing,"Ulwe, Mumbai",,Semi-Furnished,17.647058823529413,class2
"Seller
VERIFIED OWNER",28500,750,2,No Deposit,2 bathrooms,,"Kandivali West, Mumbai",Atul Blue Arch,Unfurnished,38.0,class2
"Seller
VERIFIED OWNER",50000,1400,3,No Deposit,3 bathrooms,East facing,"Chembur, Mumbai",Godrej Prime,Semi-Furnished,35.714285714285715,class2
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
"Seller
VERIFIED OWNER",9500,700,1,No Deposit,2 bathrooms,,"Dombivali, Mumbai",Lodha Casa Rio,Unfurnished,13.571428571428571,class3
"Seller
VERIFIED OWNER",55000,600,1,No Deposit,2 bathrooms,,"Bandra West, Mumbai",Swaraj Homes Little Flower Apartment,Furnished,91.66666666666667,class1
"CHERRISH ESTATE CONSULTANTS
AGENT
-",50000,600,1,No Deposit,2 bathrooms,East facing,"Andheri East, Mumbai",,Furnished,83.33333333333333,class1
"Kharghar Homes
AGENT
-",9000,510,1,No Deposit,1 bathrooms,East facing,"Kharghar, Mumbai",,Unfurnished,17.647058823529413,class2
"Ankur Real Estate Agent Palghar
AGENT
-",4500,650,1,No Deposit,2 bathrooms,West facing,"Palghar, Mumbai",Srushti Shri Rajendra Srushti,Semi-Furnished,6.923076923076923,class3
"ROYAL REALTY
AGENT
-",77000,1300,3,No Deposit,2 bathrooms,,"Kandivali East, Mumbai",,Furnished,59.23076923076923,class1
"Balaji Propiedad
AGENT
-",50000,865,2,No Deposit,2 bathrooms,,"Vikhroli, Mumbai",Dotom Blumen,Semi-Furnished,57.80346820809248,class1
"Sakshi Esate Consultancy
AGENT
-",24000,750,1,No Deposit,2 bathrooms,,"Bhandup West, Mumbai",,Unfurnished,32.0,class2
"Kalyani Real Estate
AGENT
-",25000,830,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Siddhi Highland Gardens,Semi-Furnished,30.120481927710845,class2
"Individual Agent
AGENT
-",50000,900,2,No Deposit,2 bathrooms,,"Andheri East, Mumbai",Srishti Sun Srishti,Furnished,55.55555555555556,class1
"Home On Sense Enterprises
AGENT
-",9000,960,2,No Deposit,2 bathrooms,East facing,"Badlapur East, Mumbai",,Semi-Furnished,9.375,class3
"Arise Real Estate And Consultant
AGENT
-",72000,700,2,No Deposit,3 bathrooms,West facing,"Andheri West, Mumbai",Lotus Unity By Lotus,Unfurnished,102.85714285714286,class1
"The Great Royal Estate Agency
AGENT
-",82000,1500,3,No Deposit,3 bathrooms,North facing,"Borivali East, Mumbai",Rustomjee Summit,Unfurnished,54.666666666666664,class1
"AN Properties
AGENT
-",31000,450,1,No Deposit,1 bathrooms,,"Jogeshwari East, Mumbai",Reputed Builder Green Fields,Furnished,68.88888888888889,class1
"Magic Square Properties
AGENT
-",51000,1501,3,No Deposit,3 bathrooms,NorthEast facing,"Thane West, Mumbai",Soham Tropical Lagoon,Furnished,33.977348434377085,class2
"Karunakar Jha
AGENT
-",32000,1210,2,No Deposit,2 bathrooms,NorthEast facing,"Kharghar, Mumbai",Satyam Heritage,Furnished,26.446280991735538,class2
"R J Properties
AGENT
-",18000,850,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Kavya Hill View,Unfurnished,21.176470588235293,class2
"Robin Dsouza
AGENT
-",165000,1160,2,No Deposit,2 bathrooms,,"Khar West, Mumbai",,Furnished,142.24137931034483,class1
"White Stone Real Estate
AGENT
-",55100,1135,2,No Deposit,2 bathrooms,,"Airoli, Mumbai",Sunteck Signia Waterfront,Unfurnished,48.54625550660793,class2
"Rutu Real Estate
AGENT
-",22000,535,1,No Deposit,1 bathrooms,,"Thane West, Mumbai",Reputed Builder Rutu Park,Semi-Furnished,41.12149532710281,class2
"Durga Realtors
AGENT
-",280000,1650,3,No Deposit,4 bathrooms,,"Lower Parel, Mumbai",Indiabulls Sky Forest A2,Semi-Furnished,169.6969696969697,class1
"Dedhia Realtors
AGENT
-",150000,1050,3,No Deposit,3 bathrooms,,"vile parle west, Mumbai",,Unfurnished,142.85714285714286,class1
"Jain Estate Consultant
AGENT
-",58000,1200,2,No Deposit,2 bathrooms,,"Seawoods, Mumbai",Juhi Greens,Unfurnished,48.333333333333336,class2
"Happy Homes
AGENT
-",17500,950,2,No Deposit,2 bathrooms,East facing,"Virar, Mumbai",Agarwal Meadows,Unfurnished,18.42105263157895,class2
"Aaradhya Properties
AGENT
-",130000,1377,3,No Deposit,2 bathrooms,East facing,"Jogeshwari East, Mumbai",Oberoi Splendor,Furnished,94.4081336238199,class1
"Esspee Wintrade Consultants Pvt Ltd
AGENT
-",61000,1130,2,No Deposit,1 bathrooms,NorthWest facing,"Kurla, Mumbai",Kohinoor City,Semi-Furnished,53.982300884955755,class1
"Prime Millennium
AGENT
-",52000,1500,3,No Deposit,2 bathrooms,,"Ghansoli, Mumbai",Neelkanth Sunberry,Semi-Furnished,34.666666666666664,class2
"Vikas
AGENT
-",15000,1120,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",KK Moreshwar,Unfurnished,13.392857142857142,class3
"Nirav Patel
AGENT
-",72000,870,2,No Deposit,2 bathrooms,NorthEast facing,"Andheri East, Mumbai",,Furnished,82.75862068965517,class1
"Desire Key
AGENT
-",23000,317,1,No Deposit,2 bathrooms,NorthEast facing,"Thane West, Mumbai",,Furnished,72.55520504731861,class1
"PropTalk
AGENT
-",140000,800,2,No Deposit,2 bathrooms,,"Bandra West, Mumbai",,Semi-Furnished,175.0,class1
"Madhusudhan
AGENT
-",25001,560,1,No Deposit,2 bathrooms,NorthWest facing,"Bhandup West, Mumbai",Srishti Elegance,Semi-Furnished,44.644642857142856,class2
"Siddhivinayak Properties
AGENT
-",21000,870,2,No Deposit,2 bathrooms,East facing,"Dombivali, Mumbai",Regency Regency Anantam,Semi-Furnished,24.137931034482758,class2
"Property Vision
AGENT
-",140000,1450,3,No Deposit,3 bathrooms,East facing,"Powai, Mumbai",Hiranandani Gardens Valencia,Furnished,96.55172413793103,class1
"Iyer Real Estate
AGENT
-",58000,800,2,No Deposit,1 bathrooms,NorthWest facing,"Chembur, Mumbai",Reputed Builder Purbani,Semi-Furnished,72.5,class1
"Raj Enterprises
AGENT
-",47000,1200,2,No Deposit,2 bathrooms,,"Koper Khairane, Mumbai",Proviso Dhanishtha,Furnished,39.166666666666664,class2
"Individual Agent
AGENT
-",50000,950,2,No Deposit,2 bathrooms,North facing,"Goregaon West, Mumbai",Empire Towers,Semi-Furnished,52.63157894736842,class1
"Arya Property
AGENT
-",200000,2100,4,No Deposit,4 bathrooms,North facing,"Andheri West, Mumbai",,Semi-Furnished,95.23809523809524,class1
"Prashant
AGENT
-",46000,1100,3,No Deposit,3 bathrooms,,"Mulund East, Mumbai",Amardeep Anutham,Semi-Furnished,41.81818181818182,class2
"Bhavya Realtors
AGENT
-",140000,1480,3,4 L deposit,4 bathrooms,,"Wadala, Mumbai",Lodha New Cuffe Parade Lodha Dioro And Elisium 41st To 45th Floor,Semi-Furnished,94.5945945945946,class1
"Shree Swami Samartha Property Consultant Ulwe Navi Mumbai
AGENT
-",82000,1350,2,No Deposit,2 bathrooms,,"Seawoods, Mumbai",Cidco NRI Complex,Furnished,60.74074074074074,class1
"Surabhi Realtor
AGENT
-",22000,910,2,No Deposit,2 bathrooms,,"Thane West, Mumbai",,Unfurnished,24.175824175824175,class2
"DH Property
AGENT
-",30000,950,2,No Deposit,2 bathrooms,,"Thane West, Mumbai",Runwal Garden City,Semi-Furnished,31.57894736842105,class2
"S P PROPERTIES
AGENT
-",35000,1050,2,1.25 L deposit,2 bathrooms,,"Thane West, Mumbai",ACME Ozone Phase 2,Semi-Furnished,33.333333333333336,class2
"Satguru Real Estate
AGENT
-",7500,510,1,No Deposit,1 bathrooms,,"Taloje, Mumbai",,Semi-Furnished,14.705882352941176,class3
"Royal Enterprises
AGENT
-",65000,1560,3,1 L deposit,3 bathrooms,,"Koper Khairane, Mumbai",Pranjee Marina,Semi-Furnished,41.666666666666664,class2
"Pracock Housing
AGENT
-",30000,1200,2,No Deposit,2 bathrooms,,"Thane West, Mumbai",SD Bhalerao Jaydeep Park,Semi-Furnished,25.0,class2
"Faizan Hamidi
AGENT
-",110000,1060,3,No Deposit,2 bathrooms,,"Agripada, Mumbai",Y H Ibrahim Residency,Semi-Furnished,103.77358490566037,class1
"SUNRISE REALTY
AGENT
-",12000,700,1,No Deposit,1 bathrooms,,"Kalyan East, Mumbai",Pappu Sahajeevan Residency,Unfurnished,17.142857142857142,class2
"SN Properties
AGENT
-",110000,1550,3,No Deposit,3 bathrooms,,"Goregaon West, Mumbai",Kalpataru Radiance,Semi-Furnished,70.96774193548387,class1
"Umesh Sahu
AGENT
-",80000,1800,3,No Deposit,3 bathrooms,,"Seawoods, Mumbai",L And T Seawoods Residences Phase 3,Semi-Furnished,44.44444444444444,class2
"Ansh Housing
AGENT
-",84000,1250,3,No Deposit,2 bathrooms,,"Kandivali East, Mumbai",Sea Gundecha Trillium,Furnished,67.2,class1
"Shree Swami Samarth Properties
AGENT
-",80000,800,2,No Deposit,2 bathrooms,,"Andheri West, Mumbai",,Semi-Furnished,100.0,class1
"Shree Krishna Real Estate
AGENT
-",114999,1926,3,No Deposit,3 bathrooms,,"Mulund West, Mumbai",Oberoi Eternia Towers A To D,Semi-Furnished,59.70872274143302,class1
"Neev Properties
AGENT
-",55000,850,2,No Deposit,2 bathrooms,East facing,"Ghansoli, Mumbai",Neelkanth Sunberry,Furnished,64.70588235294117,class1
"Ramson Pr
AGENT
-",70000,1200,2,No Deposit,2 bathrooms,,"Ville Parle West, Mumbai",Swaraj Homes Kapole Society,Furnished,58.333333333333336,class1
"Individual Agent
AGENT
-",50000,1080,2,No Deposit,2 bathrooms,,"Andheri East, Mumbai",Reputed Builder Manavsthal Height,Semi-Furnished,46.2962962962963,class2
"Book My Home
AGENT
-",13500,980,2,No Deposit,1 bathrooms,,"Nala Sopara, Mumbai",Sadguru Sky Heights,Unfurnished,13.775510204081632,class3
"Choudhary Enterprises
AGENT
-",65000,550,1,No Deposit,1 bathrooms,NorthEast facing,"Powai, Mumbai",Hiranandani Regent Hill C D And E Wing,Semi-Furnished,118.18181818181819,class1
"Harmony Realtors
AGENT
-",63000,1250,2,No Deposit,2 bathrooms,,"Nerul, Mumbai",Reputed Builder Lenyadri Tower,Furnished,50.4,class1
"Great Om Realtors
AGENT
-",150000,2325,3,No Deposit,3 bathrooms,SouthWest facing,"Parel, Mumbai",L And T L&T Crescent Bay,Semi-Furnished,64.51612903225806,class1
"Shiv Property Real Estate
AGENT
-",27000,350,1,No Deposit,1 bathrooms,,"Andheri West, Mumbai",,Semi-Furnished,77.14285714285714,class1
"Jaipuria Estate Agency
AGENT
-",350000,3230,4,No Deposit,5 bathrooms,,"Goregaon East, Mumbai",Oberoi Esquire,Semi-Furnished,108.35913312693498,class1
"Heritage Home Associates
AGENT
-",75000,900,2,No Deposit,2 bathrooms,East facing,"Andheri West, Mumbai",Avinash Builders Avinash Tower,Furnished,83.33333333333333,class1
"Disilva Properties
AGENT
-",25000,600,1,No Deposit,2 bathrooms,,"Dahisar West, Mumbai",,Unfurnished,41.666666666666664,class2
"Vritee Properties
AGENT
-",77000,2000,3,No Deposit,3 bathrooms,NorthEast facing,"Kharghar, Mumbai",Paradise Sai Mannat,Furnished,38.5,class2
"Properties Mela
AGENT
-",31000,595,1,1 L deposit,1 bathrooms,,"Hiranandani Estates, Mumbai",Reputed Builder Capri Chs Ltd,Furnished,52.10084033613445,class1
"Only One Property Solutions
AGENT
-",12000,846,2,No Deposit,1 bathrooms,,"Nala Sopara, Mumbai",Dudhwala Ayan Residency Phase 1,Unfurnished,14.184397163120567,class3
"Parasrampuria Realtors
AGENT
-",300000,3200,4,No Deposit,5 bathrooms,North facing,"Goregaon East, Mumbai",Oberoi Esquire,Semi-Furnished,93.75,class1
"Sai Enterprises
AGENT
-",24500,650,1,"60,000 deposit",1 bathrooms,,"Ghansoli, Mumbai",,Semi-Furnished,37.69230769230769,class2
"Hari Om Estate
AGENT
-",60000,850,2,No Deposit,3 bathrooms,West facing,"Malad West, Mumbai",,Furnished,70.58823529411765,class1
"Jai Mata Di
AGENT
-",14000,630,1,No Deposit,2 bathrooms,East facing,"Virar, Mumbai",Poonam Park View Phase I,Semi-Furnished,22.22222222222222,class2
"Maruti Estate Agents
AGENT
-",27000,450,1,No Deposit,2 bathrooms,East facing,"Kandivali East, Mumbai",Lokhandwala Spring Leaf,Semi-Furnished,60.0,class1
"Mihir Desai
AGENT
-",65000,510,1,No Deposit,1 bathrooms,,"Powai, Mumbai",Hiranandani Regent Hill C D And E Wing,Semi-Furnished,127.45098039215686,class1
"Aakansha Estate Consultancy
AGENT
-",70000,890,2,No Deposit,2 bathrooms,North facing,"Powai, Mumbai",L And T Emerald Isle T16,Semi-Furnished,78.65168539325843,class1
"V P Realtors
AGENT
-",109000,1600,3,No Deposit,3 bathrooms,East facing,"Andheri West, Mumbai",Reputed Builder Akanksha Towers,Semi-Furnished,68.125,class1
"Gupta Ji
AGENT
-",10200,560,1,No Deposit,2 bathrooms,,"Kalyan West, Mumbai",Mahindra Happinest Kalyan Project A,Unfurnished,18.214285714285715,class2
"Kanishka Properties
AGENT
-",16000,300,1,No Deposit,1 bathrooms,South facing,"Powai, Mumbai",,Unfurnished,53.333333333333336,class1
"Shanti Realtors
AGENT
-",30000,650,1,No Deposit,2 bathrooms,North facing,"Thane West, Mumbai",Hiranandani Solitaire Studio Apartment,Semi-Furnished,46.15384615384615,class2
"Swagat Properties
AGENT
-",30000,668,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Piramal Vaikunth Thane,Unfurnished,44.91017964071856,class2
"Sahai Estates
AGENT
-",290000,1700,4,No Deposit,3 bathrooms,,"Worli, Mumbai",Runwal Reserve,Semi-Furnished,170.58823529411765,class1
"Raj Alma
AGENT
-",39000,510,1,No Deposit,1 bathrooms,,"Malad East, Mumbai",Sethia Prathmesh Avenue,Furnished,76.47058823529412,class1
"Vedant Housing
AGENT
-",65000,1250,2,No Deposit,2 bathrooms,East facing,"Andheri West, Mumbai",Neminath Luxeria,Unfurnished,52.0,class1
"Rana Enterprises
AGENT
-",10300,1000,2,No Deposit,2 bathrooms,,"Antarli, Mumbai",,Semi-Furnished,10.3,class3
"SHIBAM REAL ESTATE AND PROPERTY CONSULTANT
AGENT
-",45000,850,1,No Deposit,2 bathrooms,NorthEast facing,"Vikhroli, Mumbai",Godrej Garden Enclave,Semi-Furnished,52.94117647058823,class1
"GIRISH S BAJAJ
AGENT
-",14000,651,1,No Deposit,2 bathrooms,,"Kalwa, Mumbai",,Unfurnished,21.50537634408602,class2
"UTKARSH ASSOCIATES
AGENT
-",35000,1270,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",Ishwar Aura,Furnished,27.559055118110237,class2
"Aashiyana Properties
AGENT
-",64000,650,2,No Deposit,2 bathrooms,,"Andheri West, Mumbai",Platinum Prive,Semi-Furnished,98.46153846153847,class1
"EDEN PROPERTY SOLUTIONS
AGENT
-",16000,950,2,No Deposit,2 bathrooms,,"Shil Phata, Mumbai",Om Paraiso,Unfurnished,16.842105263157894,class2
"Landmark Home
AGENT
-",50000,1040,2,No Deposit,2 bathrooms,North facing,"Hiranandani Estates, Mumbai",,Furnished,48.07692307692308,class2
"Narayan Enterprises
AGENT
-",22000,1200,2,No Deposit,2 bathrooms,,"Ulwe, Mumbai",Gurukrupa Tulsi Heights,Unfurnished,18.333333333333332,class2
"Prashant
AGENT
-",35999,700,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Raymond Ten X Habitat Raymond Realty Tower E,Unfurnished,51.427142857142854,class1
"Propbay India LLP
AGENT
-",475000,2250,4,No Deposit,4 bathrooms,West facing,"Khar West, Mumbai",,Furnished,211.11111111111111,class1
"Sales Office
AGENT
-",53000,1200,2,No Deposit,2 bathrooms,North facing,"Seawoods, Mumbai",L And T Seawoods Residences Phase I,Semi-Furnished,44.166666666666664,class2
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
"Seller
VERIFIED OWNER",3000,450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished,6.666666666666667,class3
