iter	RMSE
0	19057.20811
1	18299.54799
2	17579.12652
3	16921.14567
4	16346.18308
5	15825.40332
6	15332.26107
7	14861.57218
8	14417.42735
9	14029.34729
10	13627.84964
11	13298.8202
12	13043.11674
13	12784.25261
14	12571.39509
15	12330.93916
16	12133.60689
17	11917.20711
18	11728.74159
19	11565.31183
20	11414.2304
21	11286.02525
22	11123.48987
23	11003.67658
24	10896.29925
25	10794.5738
26	10691.3031
27	10612.9565
28	10526.81711
29	10450.01037
30	10387.92823
31	10318.8182
32	10246.78868
33	10178.12386
34	10129.01277
35	10065.14298
36	10020.21006
37	9982.579654
38	9938.657254
39	9899.650413
40	9871.460697
41	9785.768661
42	9751.470957
43	9724.877967
44	9655.496676
45	9612.773844
46	9572.867437
47	9516.760754
48	9487.891639
49	9447.858975
50	9411.864205
51	9358.268393
52	9322.193091
53	9279.840539
54	9266.03608
55	9227.79208
56	9203.42449
57	9162.951201
58	9141.610414
59	9113.963539
60	9094.112335
61	9072.650179
62	9050.689146
63	9034.350249
64	9012.548609
65	8993.032978
66	8960.413788
67	8945.985167
68	8909.300837
69	8893.116595
70	8868.548434
71	8859.01835
72	8843.827656
73	8827.825211
74	8797.774042
75	8778.38263
76	8769.015773
77	8752.851774
78	8741.112792
79	8727.449198
80	8713.766973
81	8694.003349
82	8680.883871
83	8663.871154
84	8648.503063
85	8633.016303
86	8618.753063
87	8605.784178
88	8592.871786
89	8584.449308
90	8574.502941
91	8566.067443
92	8553.246488
93	8547.222828
94	8536.362238
95	8525.182461
96	8512.090645
97	8507.028913
98	8492.63531
99	8480.067964
100	8466.499084
101	8451.934051
102	8441.730327
103	8429.440161
104	8421.970017
105	8412.361047
106	8402.117534
107	8393.718906
108	8378.20735
109	8361.897709
110	8354.779258
111	8346.321698
112	8339.618991
113	8330.947559
114	8315.887821
115	8308.223971
116	8294.307197
117	8287.800628
118	8276.404431
119	8273.390246
120	8261.116642
121	8251.495516
122	8244.785888
123	8236.965261
124	8228.075263
125	8222.065981
126	8209.609284
127	8203.840658
128	8197.800592
129	8188.826958
130	8181.531703
131	8172.878621
132	8166.216615
133	8160.41278
134	8154.049072
135	8151.540279
136	8146.480331
137	8141.937055
138	8133.518126
139	8124.134798
140	8113.721488
141	8106.553096
142	8098.739891
143	8089.010443
144	8082.03891
145	8072.720154
146	8068.309846
147	8064.854997
148	8058.03701
149	8050.290354
150	8043.88319
151	8039.242768
152	8032.354026
153	8028.346695
154	8023.89466
155	8017.26552
156	8013.923072
157	8009.714127
158	7998.598697
159	7994.725224
160	7991.63666
161	7986.890013
162	7979.479424
163	7973.382779
164	7964.618328
165	7962.456121
166	7959.802354
167	7957.174446
168	7954.126828
169	7949.067319
170	7944.026447
171	7940.736861
172	7933.082579
173	7928.47985
174	7922.943628
175	7917.193344
176	7909.305328
177	7902.001217
178	7895.999616
179	7890.448888
180	7886.510089
181	7882.524419
182	7878.079268
183	7876.194582
184	7875.000887
185	7863.349375
186	7859.624431
187	7856.486006
188	7852.654439
189	7851.171677
190	7847.021368
191	7842.391052
192	7837.885776
193	7829.423373
194	7824.346673
195	7821.869448
196	7817.770879
197	7813.897617
198	7812.636414
199	7809.792905
200	7806.907754
201	7803.351221
202	7798.599969
203	7796.434466
204	7793.777457
205	7787.959679
206	7784.663722
207	7778.650419
208	7774.04467
209	7768.186294
210	7761.285101
211	7756.413233
212	7753.638644
213	7751.456576
214	7748.737588
215	7746.61025
216	7741.702881
217	7738.895611
218	7736.18706
219	7732.244635
220	7726.473877
221	7724.085103
222	7719.953165
223	7713.880427
224	7708.678158
225	7703.02998
226	7699.031574
227	7694.769006
228	7692.415687
229	7690.057461
230	7686.77998
231	7684.049585
232	7680.885397
233	7678.53378
234	7672.970309
235	7669.51185
236	7665.499474
237	7663.988821
238	7661.865575
239	7658.397459
240	7657.549745
241	7653.773469
242	7650.838398
243	7647.440125
244	7645.652455
245	7643.314963
246	7640.033902
247	7638.020281
248	7634.55544
249	7631.947573
250	7630.294788
251	7627.737709
252	7623.690574
253	7618.978468
254	7617.838449
255	7614.415742
256	7611.918133
257	7609.675795
258	7607.237783
259	7605.459466
260	7602.793219
261	7600.916223
262	7597.579347
263	7595.901509
264	7595.065351
265	7593.50217
266	7591.408057
267	7590.063484
268	7587.379398
269	7586.626048
270	7584.748631
271	7583.315486
272	7579.775114
273	7578.702053
274	7577.719961
275	7575.540337
276	7574.640334
277	7572.645427
278	7570.540587
279	7567.506508
280	7564.339251
281	7561.361767
282	7560.101297
283	7557.498023
284	7554.895446
285	7553.569506
286	7551.272394
287	7547.203613
288	7544.152766
289	7540.565036
290	7538.325175
291	7535.976927
292	7534.879726
293	7532.214347
294	7529.567187
295	7527.347301
296	7525.720845
297	7523.908023
298	7522.341838
299	7520.38528
300	7517.949588
301	7516.464916
302	7513.40457
303	7511.690474
304	7508.813103
305	7506.175308
306	7505.324717
307	7503.406791
308	7501.577695
309	7499.745827
310	7498.452224
311	7497.034826
312	7495.57303
313	7493.960784
314	7492.259057
315	7490.9901
316	7488.087076
317	7486.190549
318	7485.451674
319	7483.412982
320	7481.220804
321	7480.1369
322	7477.713777
323	7474.938306
324	7473.964311
325	7471.470418
326	7470.010448
327	7468.385835
328	7467.772898
329	7466.257478
330	7465.013099
331	7463.994244
332	7462.930406
333	7461.584185
334	7460.266978
335	7458.325422
336	7453.949839
337	7453.038884
338	7450.867319
339	7448.431059
340	7447.288181
341	7445.438989
342	7443.577987
343	7442.007497
344	7440.471579
345	7439.291701
346	7438.117068
