iter	Passed	Remaining
0	174	174501
1	334	167123
2	358	119117
3	377	93938
4	394	78420
5	425	70507
6	448	63656
7	467	58018
8	486	53569
9	500	49537
10	514	46244
11	526	43388
12	539	40993
13	552	38927
14	566	37179
15	582	35802
16	608	35212
17	625	34117
18	642	33154
19	657	32218
20	671	31318
21	687	30552
22	702	29820
23	716	29136
24	736	28722
25	751	28164
26	767	27651
27	787	27321
28	804	26942
29	821	26547
30	838	26197
31	854	25847
32	873	25586
33	887	25219
34	902	24887
35	918	24608
36	932	24276
37	944	23918
38	958	23614
39	972	23336
40	985	23062
41	1000	22811
42	1015	22593
43	1028	22340
44	1041	22095
45	1052	21826
46	1065	21597
47	1077	21379
48	1091	21179
49	1103	20975
50	1116	20777
51	1129	20598
52	1140	20377
53	1152	20186
54	1164	20006
55	1177	19846
56	1190	19687
57	1204	19562
58	1217	19424
59	1232	19311
60	1246	19195
61	1261	19088
62	1274	18954
63	1288	18841
64	1302	18738
65	1317	18638
66	1330	18533
67	1345	18443
68	1359	18340
69	1372	18232
70	1385	18132
71	1398	18023
72	1410	17905
73	1421	17787
74	1433	17680
75	1445	17572
76	1458	17478
77	1470	17387
78	1482	17279
79	1494	17190
80	1507	17104
81	1518	17000
82	1529	16894
83	1539	16789
84	1550	16688
85	1560	16586
86	1572	16501
87	1583	16407
88	1593	16311
89	1603	16215
90	1614	16127
91	1624	16033
92	1634	15943
93	1645	15855
94	1656	15777
95	1667	15699
96	1677	15616
97	1687	15531
98	1697	15452
99	1708	15380
100	1719	15303
101	1730	15231
102	1740	15161
103	1752	15096
104	1762	15024
105	1773	14953
106	1783	14884
107	1793	14815
108	1804	14750
109	1815	14688
110	1826	14626
111	1836	14562
112	1847	14499
113	1858	14440
114	1868	14379
115	1878	14316
116	1889	14263
117	1901	14210
118	1911	14149
119	1921	14088
120	1931	14030
121	1941	13974
122	1952	13918
123	1962	13862
124	1973	13813
125	1983	13757
126	1994	13710
127	2005	13660
128	2015	13610
129	2026	13563
130	2037	13513
131	2047	13466
132	2058	13415
133	2068	13367
134	2078	13318
135	2088	13268
136	2098	13221
137	2109	13175
138	2119	13130
139	2130	13085
140	2140	13040
141	2151	13001
142	2163	12965
143	2175	12931
144	2185	12888
145	2196	12847
146	2206	12804
147	2216	12759
148	2226	12717
149	2237	12679
150	2248	12639
151	2258	12601
152	2270	12569
153	2281	12533
154	2291	12492
155	2301	12453
156	2311	12413
157	2321	12373
158	2333	12340
159	2343	12302
160	2353	12265
161	2364	12228
