broker_consultancy,Rent,Builtup Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Seller
VERIFIED OWNER","16,000",500,1,No Deposit,1 bathrooms,,"Sector 31, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","45,000",2100,3,No Deposit,3 bathrooms,,"Sector 48, Gurgaon",Vipul World Plots,Furnished
"Seller
VERIFIED OWNER","10,000",300,1,No Deposit,1 bathrooms,,"Sector 9, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","30,000",850,1,No Deposit,1 bathrooms,NorthEast facing,"Sushant LOK I, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","15,000",400,1,No Deposit,1 bathrooms,,"Sector 24, Gurgaon",DLF Phase 3,Furnished
"Seller
VERIFIED OWNER","14,000",900,3,No Deposit,2 bathrooms,NorthEast facing,"Sector 105, Gurgaon",Deewan Rajendra Park Sector 105,Semi-Furnished
"Seller
VERIFIED OWNER","13,000",350,1,No Deposit,1 bathrooms,NorthWest facing,"Sector 24, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","19,000",450,1,No Deposit,1 bathrooms,West facing,"Sector 36A, Gurgaon",AVL 36,Furnished
"Seller
VERIFIED OWNER","8,500",600,1,No Deposit,1 bathrooms,East facing,"Sector 24, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","16,000",1020,1,No Deposit,,,"PALAM VIHAR, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","60,000",2300,4,No Deposit,4 bathrooms,East facing,"Sector 24, Gurgaon",DLF Belvedere Tower,Semi-Furnished
"Seller
VERIFIED OWNER","15,000",1250,2,No Deposit,2 bathrooms,East facing,"Sector 69, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","22,000",1200,2,No Deposit,2 bathrooms,,"Sector 47, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","13,000",1000,1,No Deposit,1 bathrooms,,"Sector 4, Gurgaon",HUDA RWA Swaran Jayanti,Semi-Furnished
"Seller
VERIFIED OWNER","16,000",1000,1,No Deposit,1 bathrooms,,"Sector 14, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","22,000",700,1,No Deposit,1 bathrooms,,"Sushant LOK I, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","12,000",700,1,No Deposit,1 bathrooms,East facing,"Sector 46, Gurgaon",,Unfurnished
"Seller
VERIFIED OWNER","11,500",750,2,No Deposit,2 bathrooms,,"Sector 102, Gurgaon",ROF Aalayas,Semi-Furnished
"Seller
VERIFIED OWNER","18,000",300,1,No Deposit,1 bathrooms,,"Sector 46, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","35,000",2400,3,No Deposit,2 bathrooms,,"Sector 30, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","16,000",500,1,No Deposit,1 bathrooms,,"Sector 31, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","45,000",2100,3,No Deposit,3 bathrooms,,"Sector 48, Gurgaon",Vipul World Plots,Furnished
"Seller
VERIFIED OWNER","10,000",300,1,No Deposit,1 bathrooms,,"Sector 9, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","30,000",850,1,No Deposit,1 bathrooms,NorthEast facing,"Sushant LOK I, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","15,000",400,1,No Deposit,1 bathrooms,,"Sector 24, Gurgaon",DLF Phase 3,Furnished
"Seller
VERIFIED OWNER","14,000",900,3,No Deposit,2 bathrooms,NorthEast facing,"Sector 105, Gurgaon",Deewan Rajendra Park Sector 105,Semi-Furnished
"Seller
VERIFIED OWNER","13,000",350,1,No Deposit,1 bathrooms,NorthWest facing,"Sector 24, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","19,000",450,1,No Deposit,1 bathrooms,West facing,"Sector 36A, Gurgaon",AVL 36,Furnished
"Seller
VERIFIED OWNER","8,500",600,1,No Deposit,1 bathrooms,East facing,"Sector 24, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","16,000",1020,1,No Deposit,,,"PALAM VIHAR, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","60,000",2300,4,No Deposit,4 bathrooms,East facing,"Sector 24, Gurgaon",DLF Belvedere Tower,Semi-Furnished
"Seller
VERIFIED OWNER","15,000",1250,2,No Deposit,2 bathrooms,East facing,"Sector 69, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","22,000",1200,2,No Deposit,2 bathrooms,,"Sector 47, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","13,000",1000,1,No Deposit,1 bathrooms,,"Sector 4, Gurgaon",HUDA RWA Swaran Jayanti,Semi-Furnished
"Seller
VERIFIED OWNER","16,000",1000,1,No Deposit,1 bathrooms,,"Sector 14, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","22,000",700,1,No Deposit,1 bathrooms,,"Sushant LOK I, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","12,000",700,1,No Deposit,1 bathrooms,East facing,"Sector 46, Gurgaon",,Unfurnished
"Seller
VERIFIED OWNER","11,500",750,2,No Deposit,2 bathrooms,,"Sector 102, Gurgaon",ROF Aalayas,Semi-Furnished
"Seller
VERIFIED OWNER","18,000",300,1,No Deposit,1 bathrooms,,"Sector 46, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","35,000",2400,3,No Deposit,2 bathrooms,,"Sector 30, Gurgaon",,Semi-Furnished
"Seller
VERIFIED OWNER","16,000",500,1,No Deposit,1 bathrooms,,"Sector 31, Gurgaon",,Furnished
"Seller
VERIFIED OWNER","45,000",2100,3,No Deposit,3 bathrooms,,"Sector 48, Gurgaon",Vipul World Plots,Furnished
"Seller
VERIFIED OWNER","10,000",300,1,No Deposit,1 bathrooms,,"Sector 9, Gurgaon",,Furnished
