broker_consultancy,Rent,Builtup Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Seller
VERIFIED OWNER","12,000",500,1,No Deposit,1 bathrooms,,"Chokhi Dhani, Jaipur",,Unfurnished
"Seller
VERIFIED OWNER","5,000",400,2,"10,000 deposit",2 bathrooms,,"Jhotwara, Jaipur",Shree Salasar Residency,Unfurnished
"Seller
VERIFIED OWNER","18,000",1200,3,"36,000 deposit",2 bathrooms,,"Pratap Nagar, Jaipur",,Semi-Furnished
"Seller
VERIFIED OWNER","10,000",800,1,"10,000 deposit",1 bathrooms,,"Sodala, Jaipur",,Semi-Furnished
"Seller
VERIFIED OWNER","15,500",600,2,"30,000 deposit",2 bathrooms,,"Vidhyadhar Nagar, Jaipur",,Unfurnished
"Seller
VERIFIED OWNER","28,500",1554,3,"28,500 deposit",3 bathrooms,,"Gandhi Path West, Jaipur",Shree Jee Anchal,Semi-Furnished
"Seller
VERIFIED OWNER","25,000",3600,3,No Deposit,3 bathrooms,West facing,"Mahapura, Jaipur",,Unfurnished
"Seller
VERIFIED OWNER","45,000",2200,4,No Deposit,4 bathrooms,NorthEast facing,"Heerapura, Jaipur",Parth Sarthi The Urban Edge,Furnished
"Seller
VERIFIED OWNER","25,000",1440,3,No Deposit,2 bathrooms,East facing,"Jagatpura, Jaipur",Redwood Aquila,Furnished
"Seller
VERIFIED OWNER","33,500",3000,3,No Deposit,3 bathrooms,NorthWest facing,"Malviya Nagar, Jaipur",,Furnished
"Seller
VERIFIED OWNER","21,500",834,2,No Deposit,2 bathrooms,North facing,"Ajmer Road, Jaipur",Manglam Tarang,Furnished
"Seller
VERIFIED OWNER","24,000",1900,3,"24,000 deposit",4 bathrooms,,"Sanganer, Jaipur",Manglam Aananda,Semi-Furnished
"Seller
VERIFIED OWNER","23,000",1575,3,"46,000 deposit",2 bathrooms,,"Jagatpura, Jaipur",,Semi-Furnished
"Seller
VERIFIED OWNER","19,500",1086,2,No Deposit,2 bathrooms,East facing,"Jagatpura, Jaipur",Mahima Panorama,Furnished
"Seller
VERIFIED OWNER","20,000",1100,2,"20,000 deposit",2 bathrooms,,"Jagatpura, Jaipur",,Furnished
"Seller
VERIFIED OWNER","12,000",506,1,"12,000 deposit",1 bathrooms,,"Ajmer Road, Jaipur",Sankalp Sankalp Tatvam,Furnished
"Seller
VERIFIED OWNER","11,000",825,1,No Deposit,1 bathrooms,West facing,"Mansarovar, Jaipur",,Furnished
"Seller
VERIFIED OWNER","12,000",280,1,"18,000 deposit",1 bathrooms,,"Jagatpura, Jaipur",,Furnished
"Seller
VERIFIED OWNER","12,500",1350,2,No Deposit,2 bathrooms,,"Ajmer Road, Jaipur",Manglam Aangan Prime Villa,Furnished
"Seller
VERIFIED OWNER","15,000",500,2,No Deposit,2 bathrooms,,"Vidhyadhar Nagar, Jaipur",,Semi-Furnished
"Seller
VERIFIED OWNER","12,000",500,1,No Deposit,1 bathrooms,,"Chokhi Dhani, Jaipur",,Unfurnished
