broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status,Rent/sqfit,class
"Seller
VERIFIED OWNER",35000,1094,2,No Deposit,2 bathrooms,East facing,"Sector 150, Noida",ACE Group Parkway,Semi-Furnished,31.992687385740403,class1
"Seller
VERIFIED OWNER",30000,1400,3,"60,000 deposit",3 bathrooms,,"Sector 151, Noida",Jaypee Aman,Furnished,21.428571428571427,class2
"Seller
VERIFIED OWNER",50000,1294,2,No Deposit,2 bathrooms,,"Sector 75, Noida",Apex Buildcon Athena,Furnished,38.639876352395675,class1
"Seller
VERIFIED OWNER",60000,3600,4,No Deposit,3 bathrooms,East facing,"Sector 92, Noida",,Furnished,16.666666666666668,class3
"Seller
VERIFIED OWNER",30500,1350,3,"61,000 deposit",2 bathrooms,,"Sector 46, Noida",Gardenia AIMS MAX Gardenia Glory,Semi-Furnished,22.59259259259259,class2
"Seller
VERIFIED OWNER",3000,320,1,No Deposit,1 bathrooms,North facing,"Yeida, Noida",,Unfurnished,9.375,class3
"Seller
VERIFIED OWNER",25000,1082,2,No Deposit,2 bathrooms,,"Sector 74, Noida",Supertech Cape Town,Semi-Furnished,23.10536044362292,class2
"Seller
VERIFIED OWNER",12000,200,1,No Deposit,1 bathrooms,East facing,"Sector 128, Noida",,Furnished,60.0,class1
"Seller
VERIFIED OWNER",40000,2230,3,No Deposit,4 bathrooms,,"Sector 168, Noida",Sunworld Arista,Semi-Furnished,17.937219730941703,class3
"Seller
VERIFIED OWNER",20000,952,2,No Deposit,1 bathrooms,East facing,"Sector 151, Noida",Jaypee Aman,Furnished,21.008403361344538,class2
"Seller
VERIFIED OWNER",13500,1100,1,No Deposit,1 bathrooms,East facing,"Sector 62, Noida",Elixir Harmony Apartments,Furnished,12.272727272727273,class3
"Seller
VERIFIED OWNER",15000,225,1,"10,000 deposit",1 bathrooms,,"Sector 44, Noida",,Furnished,66.66666666666667,class1
"Seller
VERIFIED OWNER",38000,1400,3,"50,000 deposit",3 bathrooms,,"Sector 71, Noida",,Furnished,27.142857142857142,class2
