Project Name,Project Price,Builtup Area,BHK,Deposit,Bathrooms,Facing
"Kasturi Developers
BUILDER
-","20,000",1132,2,No Deposit,2 bathrooms,NorthEast facing
"Kasturi Developers
BUILDER
-","35,000",1700,3,No Deposit,3 bathrooms,NorthEast facing
"Kasturi Developers
BUILDER
-","20,000",1200,2,No Deposit,2 bathrooms,NorthEast facing
"Seller
VERIFIED OWNER","28,500",750,2,No Deposit,2 bathrooms,
"Seller
VERIFIED OWNER","50,000",1400,3,No Deposit,3 bathrooms,East facing
"Seller
VERIFIED OWNER","3,000",450,1,No Deposit,1 bathrooms,East facing
"Seller
VERIFIED OWNER","9,500",700,1,No Deposit,2 bathrooms,
"Seller
VERIFIED OWNER","55,000",600,1,No Deposit,2 bathrooms,
"Kharghar Homes
AGENT
-","9,000",510,1,No Deposit,1 bathrooms,East facing
"CHERRISH ESTATE CONSULTANTS
AGENT
-","50,000",600,1,No Deposit,2 bathrooms,East facing
"Ankur Real Estate Agent Palghar
AGENT
-","4,500",650,1,No Deposit,2 bathrooms,West facing
"ROYAL REALTY
AGENT
-","77,000",1300,3,No Deposit,2 bathrooms,
"Balaji Propiedad
AGENT
-","50,000",865,2,No Deposit,2 bathrooms,
"Kalyani Real Estate
AGENT
-","25,000",830,2,No Deposit,2 bathrooms,East facing
"Sakshi Esate Consultancy
AGENT
-","24,000",750,1,No Deposit,2 bathrooms,
"Dedhia Realtors
AGENT
-",3 L,3000,4,No Deposit,4 bathrooms,
"SN Properties
AGENT
-","75,000",1200,2,No Deposit,2 bathrooms,
"Prashant
AGENT
-","33,000",600,1,No Deposit,2 bathrooms,
"Sahara Properties
AGENT
-","29,000",510,1,No Deposit,2 bathrooms,
"Property Vision
AGENT
-",1.4 L,1450,3,No Deposit,3 bathrooms,East facing
