Project Name,Project Price,Builtup Area,BHK,Deposit,Bathrooms,Facing,Address,Apartment Name,Highlights
"Kasturi Developers
BUILDER
-","20,000",1132,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",EV Castle,{}
"Kasturi Developers
BUILDER
-","35,000",1700,3,No Deposit,3 bathrooms,NorthEast facing,"Ulwe, Mumbai",Satyam Mayfair,{}
"Seller
VERIFIED OWNER","28,500",750,2,No Deposit,2 bathrooms,,"Kandivali West, Mumbai",Atul Blue Arch,{}
"Seller
VERIFIED OWNER","50,000",1400,3,No Deposit,3 bathrooms,East facing,"Chembur, Mumbai",Godrej Prime,{}
"Seller
VERIFIED OWNER","3,000",450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,{}
"Seller
VERIFIED OWNER","9,500",700,1,No Deposit,2 bathrooms,,"Dombivali, Mumbai",Lodha Casa Rio,{}
"Seller
VERIFIED OWNER","55,000",600,1,No Deposit,2 bathrooms,,"Bandra West, Mumbai",Swaraj Homes Little Flower Apartment,{}
"Ankur Real Estate Agent Palghar
AGENT
-","4,500",650,1,No Deposit,2 bathrooms,West facing,"Palghar, Mumbai",Srushti Shri Rajendra Srushti,{}
"Balaji Propiedad
AGENT
-","50,000",865,2,No Deposit,2 bathrooms,,"Vikhroli, Mumbai",Dotom Blumen,{}
"Kalyani Real Estate
AGENT
-","25,000",830,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Siddhi Highland Gardens,{}
"SN Properties
AGENT
-","75,000",1200,2,No Deposit,2 bathrooms,,"Goregaon West, Mumbai",Kalpataru Radiance,{}
"Prashant
AGENT
-","33,000",600,1,No Deposit,2 bathrooms,,"Mulund East, Mumbai",Amardeep Anutham,{}
"Sahara Properties
AGENT
-","29,000",510,1,No Deposit,2 bathrooms,,"Malad West, Mumbai",Reputed Builder Rishikesh CHS,{}
"Property Vision
AGENT
-",1.4 L,1450,3,No Deposit,3 bathrooms,East facing,"Powai, Mumbai",Hiranandani Gardens Valencia,{}
