Project Name,Project Price,Builtup Area,BHK,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Kasturi Developers
BUILDER
-","20,000",1132,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",EV Castle,Unfurnished
"Kasturi Developers
BUILDER
-","35,000",1700,3,No Deposit,3 bathrooms,NorthEast facing,"Ulwe, Mumbai",Satyam Mayfair,Unfurnished
"Seller
VERIFIED OWNER","28,500",750,2,No Deposit,2 bathrooms,,"Kandivali West, Mumbai",Atul Blue Arch,Unfurnished
"Seller
VERIFIED OWNER","50,000",1400,3,No Deposit,3 bathrooms,East facing,"Chembur, Mumbai",Godrej Prime,Semi-Furnished
"Seller
VERIFIED OWNER","3,000",450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished
"Seller
VERIFIED OWNER","9,500",700,1,No Deposit,2 bathrooms,,"Dombivali, Mumbai",Lodha Casa Rio,Unfurnished
"Seller
VERIFIED OWNER","55,000",600,1,No Deposit,2 bathrooms,,"Bandra West, Mumbai",Swaraj Homes Little Flower Apartment,Furnished
"Kharghar Homes
AGENT
-","9,000",510,1,No Deposit,1 bathrooms,East facing,"Kharghar, Mumbai",,Unfurnished
"CHERRISH ESTATE CONSULTANTS
AGENT
-","50,000",600,1,No Deposit,2 bathrooms,East facing,"Andheri East, Mumbai",,Furnished
"Ankur Real Estate Agent Palghar
AGENT
-","4,500",650,1,No Deposit,2 bathrooms,West facing,"Palghar, Mumbai",Srushti Shri Rajendra Srushti,Semi-Furnished
"ROYAL REALTY
AGENT
-","77,000",1300,3,No Deposit,2 bathrooms,,"Kandivali East, Mumbai",,Furnished
"Balaji Propiedad
AGENT
-","50,000",865,2,No Deposit,2 bathrooms,,"Vikhroli, Mumbai",Dotom Blumen,Semi-Furnished
"Kalyani Real Estate
AGENT
-","25,000",830,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Siddhi Highland Gardens,Semi-Furnished
"Sakshi Esate Consultancy
AGENT
-","24,000",750,1,No Deposit,2 bathrooms,,"Bhandup West, Mumbai",,Unfurnished
"Dedhia Realtors
AGENT
-",3 L,3000,4,No Deposit,4 bathrooms,,"Juhu, Mumbai",,Furnished
"SN Properties
AGENT
-","75,000",1200,2,No Deposit,2 bathrooms,,"Goregaon West, Mumbai",Kalpataru Radiance,Unfurnished
"Prashant
AGENT
-","33,000",600,1,No Deposit,2 bathrooms,,"Mulund East, Mumbai",Amardeep Anutham,Unfurnished
"Sahara Properties
AGENT
-","29,000",510,1,No Deposit,2 bathrooms,,"Malad West, Mumbai",Reputed Builder Rishikesh CHS,Unfurnished
"Property Vision
AGENT
-",1.4 L,1450,3,No Deposit,3 bathrooms,East facing,"Powai, Mumbai",Hiranandani Gardens Valencia,Furnished
