broker_consultancy,Rent,Builtup Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status
"Kasturi Developers
BUILDER
-","20,000",1132,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",EV Castle,Unfurnished
"Kasturi Developers
BUILDER
-","20,000",1200,2,No Deposit,2 bathrooms,NorthEast facing,"Ulwe, Mumbai",,Unfurnished
"Kasturi Developers
BUILDER
-","30,000",1700,3,No Deposit,3 bathrooms,NorthEast facing,"Ulwe, Mumbai",,Semi-Furnished
"Seller
VERIFIED OWNER","28,500",750,2,No Deposit,2 bathrooms,,"Kandivali West, Mumbai",Atul Blue Arch,Unfurnished
"Seller
VERIFIED OWNER","50,000",1400,3,No Deposit,3 bathrooms,East facing,"Chembur, Mumbai",Godrej Prime,Semi-Furnished
"Seller
VERIFIED OWNER","3,000",450,1,No Deposit,1 bathrooms,East facing,"Badlapur East, Mumbai",Sagar Platinum Sagar Jewels,Unfurnished
"Seller
VERIFIED OWNER","9,500",700,1,No Deposit,2 bathrooms,,"Dombivali, Mumbai",Lodha Casa Rio,Unfurnished
"Seller
VERIFIED OWNER","55,000",600,1,No Deposit,2 bathrooms,,"Bandra West, Mumbai",Swaraj Homes Little Flower Apartment,Furnished
"CHERRISH ESTATE CONSULTANTS
AGENT
-","50,000",600,1,No Deposit,2 bathrooms,East facing,"Andheri East, Mumbai",,Furnished
"Kharghar Homes
AGENT
-","9,000",510,1,No Deposit,1 bathrooms,East facing,"Kharghar, Mumbai",,Unfurnished
"Ankur Real Estate Agent Palghar
AGENT
-","4,500",650,1,No Deposit,2 bathrooms,West facing,"Palghar, Mumbai",Srushti Shri Rajendra Srushti,Semi-Furnished
"ROYAL REALTY
AGENT
-","77,000",1300,3,No Deposit,2 bathrooms,,"Kandivali East, Mumbai",,Furnished
"Balaji Propiedad
AGENT
-","50,000",865,2,No Deposit,2 bathrooms,,"Vikhroli, Mumbai",Dotom Blumen,Semi-Furnished
"Sakshi Esate Consultancy
AGENT
-","24,000",750,1,No Deposit,2 bathrooms,,"Bhandup West, Mumbai",,Unfurnished
"Kalyani Real Estate
AGENT
-","25,000",830,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Siddhi Highland Gardens,Semi-Furnished
"Individual Agent
AGENT
-","50,000",900,2,No Deposit,2 bathrooms,,"Andheri East, Mumbai",Srishti Sun Srishti,Furnished
"Home On Sense Enterprises
AGENT
-","9,000",960,2,No Deposit,2 bathrooms,East facing,"Badlapur East, Mumbai",,Semi-Furnished
"Arise Real Estate And Consultant
AGENT
-","72,000",700,2,No Deposit,3 bathrooms,West facing,"Andheri West, Mumbai",Lotus Unity By Lotus,Unfurnished
"The Great Royal Estate Agency
AGENT
-","82,000",1500,3,No Deposit,3 bathrooms,North facing,"Borivali East, Mumbai",Rustomjee Summit,Unfurnished
"AN Properties
AGENT
-","31,000",450,1,No Deposit,1 bathrooms,,"Jogeshwari East, Mumbai",Reputed Builder Green Fields,Furnished
"Magic Square Properties
AGENT
-","51,000",1501,3,No Deposit,3 bathrooms,NorthEast facing,"Thane West, Mumbai",Soham Tropical Lagoon,Furnished
"Karunakar Jha
AGENT
-","32,000",1210,2,No Deposit,2 bathrooms,NorthEast facing,"Kharghar, Mumbai",Satyam Heritage,Furnished
"R J Properties
AGENT
-","18,000",850,2,No Deposit,2 bathrooms,East facing,"Thane West, Mumbai",Kavya Hill View,Unfurnished
"Robin Dsouza
AGENT
-",1.65 L,1160,2,No Deposit,2 bathrooms,,"Khar West, Mumbai",,Furnished
"White Stone Real Estate
AGENT
-","55,100",1135,2,No Deposit,2 bathrooms,,"Airoli, Mumbai",Sunteck Signia Waterfront,Unfurnished
"Rutu Real Estate
AGENT
-","22,000",535,1,No Deposit,1 bathrooms,,"Thane West, Mumbai",Reputed Builder Rutu Park,Semi-Furnished
"Durga Realtors
AGENT
-",2.8 L,1650,3,No Deposit,4 bathrooms,,"Lower Parel, Mumbai",Indiabulls Sky Forest A2,Semi-Furnished
"Dedhia Realtors
AGENT
-",1.5 L,1050,3,No Deposit,3 bathrooms,,"vile parle west, Mumbai",,Unfurnished
